employee_id,gender,team,financial_q,role_seniority,leadership_for_level,productivity,salary
24600,Man,Client services,2020 Q4,Entry-level,Appropriate for level,43,"$36,800"
24600,Man,Client services,2020 Q3,Entry-level,Appropriate for level,42,"$36,800"
24599,Man,Client services,2020 Q4,Entry-level,Appropriate for level,61,"$29,600"
24599,Man,Client services,2020 Q3,Entry-level,Appropriate for level,60,"$29,600"
24598,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,73,"$28,700"
24598,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,74,"$28,700"
24598,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,74,"$28,700"
24598,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,72,"$28,700"
24597,Woman,Client services,2020 Q4,Entry-level,Needs improvement,19,"$29,600"
24597,Woman,Client services,2020 Q3,Entry-level,Needs improvement,18,"$29,600"
24597,Woman,Client services,2020 Q2,Entry-level,Needs improvement,19,"$29,600"
24596,Man,Client services,2020 Q4,Entry-level,Appropriate for level,45,"$36,600"
24596,Man,Client services,2020 Q3,Entry-level,Appropriate for level,46,"$36,600"
24596,Man,Client services,2020 Q2,Entry-level,Appropriate for level,44,"$36,600"
24596,Man,Client services,2020 Q1,Entry-level,Appropriate for level,45,"$36,600"
24595,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,63,"$29,300"
24595,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,62,"$29,300"
24595,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,61,"$29,300"
24595,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,61,"$29,300"
24594,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,58,"$33,700"
24594,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,57,"$33,700"
24594,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,58,"$33,700"
24593,Man,Client services,2020 Q4,Entry-level,Appropriate for level,63,"$36,500"
24593,Man,Client services,2020 Q3,Entry-level,Appropriate for level,64,"$36,500"
24593,Man,Client services,2020 Q2,Entry-level,Exceeds expectations,64,"$36,500"
24593,Man,Client services,2020 Q1,Entry-level,Appropriate for level,64,"$36,500"
24592,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,55,"$27,100"
24592,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,56,"$27,100"
24592,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,55,"$27,100"
24592,Woman,Client services,2020 Q1,Entry-level,Needs improvement,55,"$27,100"
24591,Man,Client services,2020 Q4,Entry-level,Appropriate for level,15,"$28,900"
24591,Man,Client services,2020 Q3,Entry-level,Appropriate for level,15,"$28,900"
24591,Man,Client services,2020 Q2,Entry-level,Appropriate for level,13,"$28,900"
24591,Man,Client services,2020 Q1,Entry-level,Appropriate for level,13,"$28,900"
24590,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,27,"$33,000"
24589,Man,Client services,2020 Q4,Entry-level,Appropriate for level,52,"$33,700"
24589,Man,Client services,2020 Q3,Entry-level,Appropriate for level,50,"$33,700"
24589,Man,Client services,2020 Q2,Entry-level,Appropriate for level,50,"$33,700"
24588,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,18,"$30,100"
24588,Woman,Client services,2020 Q3,Entry-level,Needs improvement,19,"$30,100"
24587,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,69,"$29,200"
24587,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,67,"$29,200"
24587,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,66,"$29,200"
24587,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,67,"$29,200"
24586,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,54,"$25,300"
24586,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,54,"$25,300"
24586,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,53,"$25,300"
24586,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,53,"$25,300"
24585,Man,Client services,2020 Q4,Entry-level,Exceeds expectations,82,"$34,100"
24585,Man,Client services,2020 Q3,Entry-level,Appropriate for level,80,"$34,100"
24585,Man,Client services,2020 Q2,Entry-level,Exceeds expectations,81,"$34,100"
24585,Man,Client services,2020 Q1,Entry-level,Appropriate for level,80,"$34,100"
24585,Man,Client services,2019 Q4,Entry-level,Appropriate for level,80,"$34,100"
24585,Man,Client services,2019 Q3,Entry-level,Appropriate for level,80,"$34,100"
24584,Man,Client services,2020 Q4,Entry-level,Appropriate for level,34,"$36,800"
24584,Man,Client services,2020 Q3,Entry-level,Appropriate for level,33,"$36,800"
24583,Man,Client services,2020 Q4,Entry-level,Appropriate for level,50,"$32,500"
24583,Man,Client services,2020 Q3,Entry-level,Appropriate for level,49,"$32,500"
24583,Man,Client services,2020 Q2,Entry-level,Appropriate for level,49,"$32,500"
24583,Man,Client services,2020 Q1,Entry-level,Appropriate for level,48,"$32,500"
24582,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,41,"$33,000"
24582,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,39,"$33,000"
24582,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,40,"$33,000"
24582,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,40,"$33,000"
24581,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,55,"$28,300"
24581,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,56,"$28,300"
