applicant_id,team_applied_for,cover_letter,cv,gpa,gender,extracurriculars,work_experience
1010,Software,0,1,1.3,Man,1,1
1020,Software,0,1,3.4,Woman,2,1
1030,Data,1,1,2.4,Woman,2,0
1040,Software,0,1,2.7,Man,1,1
1050,Data,1,0,2.1,Prefer not to say,0,1
1060,Software,0,1,2.6,Prefer not to say,1,1
1070,Software,1,1,3.4,Woman,1,1
1080,Data,1,1,2.6,Man,1,1
1090,Data,1,1,3.7,Man,2,1
1100,Software,0,1,2.6,Woman,1,1
1110,Data,0,1,3.3,Woman,2,1
1120,Software,1,1,3.8,Woman,2,1
1130,Software,0,1,1.9,Woman,1,1
1140,Data,1,1,3.3,Woman,1,1
1150,Software,1,1,3.2,Man,1,1
1160,Data,0,1,3.1,Man,1,1
1170,Software,1,1,2.9,Man,1,1
1180,Software,1,1,3.2,Man,1,1
1190,Software,0,1,2.2,Woman,2,1
1200,Software,0,1,2.5,Woman,1,1
1210,Data,0,1,1.7,Woman,1,1
1220,Data,0,1,3.5,Woman,2,1
1230,Software,1,1,2.8,Man,2,1
1240,Software,1,0,2.8,Man,2,1
1250,Software,0,1,2.4,Man,1,1
1260,Data,1,0,1.7,Woman,0,1
1270,Data,1,1,2.2,Woman,1,1
1280,Software,1,1,2.9,Man,1,2
1290,Software,1,1,3,Woman,2,1
1300,Software,1,1,3.2,Woman,2,2
1310,Data,1,1,2.3,Man,2,0
1320,Software,0,1,2.3,Man,1,1
1330,Data,0,1,2.2,Woman,1,0
1340,Software,1,1,3,Woman,2,1
1350,Software,1,1,2.5,Woman,1,0
1360,Software,1,1,4,Woman,1,2
1370,Software,1,1,3,Man,2,0
1380,Software,1,1,2.3,Woman,1,1
1390,Data,0,1,3.7,Man,2,1
1400,Data,0,1,3,Man,2,1
1410,Software,1,1,2.8,Man,1,1
1420,Software,1,1,2.2,Man,1,0
1430,Software,0,1,3.6,Man,2,2
1440,Software,1,1,3,Woman,2,1
1450,Data,0,1,1.2,Man,1,0
1460,Software,1,1,3,Woman,1,1
1470,Data,1,1,2.7,Man,1,1
1480,Data,1,1,3.2,Woman,2,1
1490,Software,1,1,2.5,Man,2,1
1500,Software,0,1,2.8,Woman,2,1
1510,Data,1,1,2.5,Woman,1,0
1520,Data,1,1,3.6,Man,1,1
1530,Software,1,1,3,Woman,2,1
1540,Data,1,1,2.8,Woman,2,1
1550,Software,1,1,3.4,Woman,2,2
1560,Software,0,1,2.8,Man,1,1
1570,Data,0,1,2,Man,1,0
1580,Software,1,0,2.1,Woman,1,1
1590,Software,1,0,3.1,Woman,1,1
1600,Data,1,1,3.1,Woman,2,2
1610,Data,1,1,3.5,Woman,1,1
1620,Data,1,1,2.1,Man,1,1
1630,Data,0,1,3,Woman,1,1
1640,Data,1,0,2.9,Woman,1,1
1650,Software,1,1,2.2,Woman,1,1
1660,Data,1,1,2.9,Woman,1,1
1670,Software,1,1,2.7,Man,1,1
1680,Software,1,1,2.2,Woman,0,0
1690,Software,1,1,2.6,Woman,1,1
1700,Data,0,1,2,Man,2,1
1710,Software,1,1,2.5,Woman,1,0
1720,Software,0,1,2.6,Woman,2,1
1730,Software,0,1,2.1,Man,1,1
1740,Software,1,1,3.1,Man,1,1
1750,Software,1,1,3.4,Woman,2,2
1760,Data,1,1,2.4,Man,0,1
1770,Software,1,1,3,Man,1,1
1780,Data,1,1,3.1,Woman,2,2
1790,Data,0,1,2.4,Woman,0,1
1800,Data,1,1,2.1,Man,1,1
1810,Software,1,1,3.8,Woman,2,1
1820,Data,1,1,3.3,Man,1,1
1830,Data,1,1,3.2,Woman,1,1
1840,Data,1,1,2.1,Man,1,1
1850,Software,0,1,2.6,Woman,1,1
1860,Data,0,1,2.3,Man,2,1
1870,Software,0,1,2.4,Man,1,1
1880,Software,0,1,3.2,Man,2,1
1890,Data,0,1,2.5,Woman,1,1
1900,Software,1,1,3.3,Man,1,1
1910,Data,0,1,2.2,Man,0,1
1920,Software,1,1,2.4,Woman,1,1
1930,Software,0,1,2.2,Man,1,1
1940,Software,0,1,2.5,Woman,2,1
1950,Software,1,1,2.4,Man,1,1
1960,Software,0,1,3.1,Woman,2,2
1970,Software,1,1,3.2,Woman,1,1
1980,Data,1,1,2.5,Woman,2,1
1990,Data,1,1,2.7,Man,2,1
2000,Data,1,1,2.2,Woman,1,0
2010,Data,1,0,2.1,Woman,1,1
2020,Software,1,1,3.5,Man,2,2
2030,Software,1,1,2.2,Woman,0,0
2040,Data,1,1,3.6,Man,2,2
2050,Data,1,0,2.8,Woman,1,1
2060,Data,1,1,2,Woman,0,0
2070,Data,0,1,2.7,Woman,1,1
2080,Data,1,0,3.2,Woman,1,2
2090,Data,1,1,3.4,Woman,1,1
2100,Software,0,0,2.1,Woman,2,1
2110,Software,0,1,2.1,Woman,1,1
2120,Software,1,1,2.4,Prefer not to say,2,1
2130,Data,0,1,2.5,Man,1,1
2140,Software,0,1,1.8,Man,1,0
2150,Data,1,1,2.4,Woman,1,0
2160,Software,1,1,3.5,Woman,2,2
2170,Software,1,1,2.4,Woman,1,1
2180,Software,1,1,2.8,Woman,1,1
2190,Software,1,1,1.7,Man,1,0
2200,Software,0,1,1.8,Man,1,1
2210,Software,1,1,3.4,Man,1,1
2220,Software,0,1,2.1,Woman,2,1
2230,Software,0,1,2,Woman,0,1
2240,Software,0,1,2,Man,0,1
2250,Software,0,1,2.4,Woman,1,1
2260,Software,1,1,3.9,Woman,2,1
2270,Data,0,0,2.5,Man,1,1
2280,Software,1,1,2.3,Man,1,1
2290,Software,1,1,2.5,Woman,1,1
2300,Data,1,1,3,Man,2,1
2310,Software,0,1,3.4,Man,2,1
2320,Data,1,0,2.1,Prefer not to say,1,1
2330,Data,0,1,2.6,Woman,1,1
2340,Software,0,1,2.4,Man,2,0
2350,Software,0,1,2.5,Woman,1,1
2360,Software,1,1,3.1,Woman,1,1
2370,Data,0,1,1.7,Man,0,0
2380,Data,0,1,2.5,Woman,1,0
